"tax_id","parent_id","rank","tax_name","root","below_root","superkingdom","below_superkingdom","below_below_superkingdom","superphylum","phylum","subphylum","class","subclass","order","below_order","below_below_order","suborder","family","below_family","genus","species_group","species","below_species","below_below_species","subspecies","below_subspecies"
"186827","186826","family","Aerococcaceae","1","131567","2","","","","1239","","91061","","186826","","","","186827","","","","","","","",""
"815","171549","family","Bacteroidaceae","1","131567","2","","","68336","976","","200643","","171549","","","","815","","","","","","","",""
"31953","85004","family","Bifidobacteriaceae","1","131567","2","","","","201174","","1760","85003","85004","","","","31953","","","","","","","",""
"85019","85006","family","Brevibacteriaceae","1","131567","2","","","","201174","","1760","85003","2037","","","85006","85019","","","","","","","",""
"72294","213849","family","Campylobacteraceae","1","131567","2","","","","1224","68525","29547","","213849","","","","72294","","","","","","","",""
"85016","85006","family","Cellulomonadaceae","1","131567","2","","","","201174","","1760","85003","2037","","","85006","85016","","","","","","","",""
"31979","186802","family","Clostridiaceae","1","131567","2","","","","1239","","186801","","186802","","","","31979","","","","","","","",""
"543310","538999","family","Clostridiales Family XI. Incertae Sedis","1","131567","2","","","","1239","","186801","","186802","538999","","","543310","","","","","","","",""
"84107","255727","family","Coriobacteriaceae","1","131567","2","","","","201174","","1760","84998","84999","","","255727","84107","","","","","","","",""
"1653","85007","family","Corynebacteriaceae","1","131567","2","","","","201174","","1760","85003","2037","","","85007","1653","","","","","","","",""
"543","91347","family","Enterobacteriaceae","1","131567","2","","","","1224","","1236","","91347","","","","543","","","","","","","",""
"186806","186802","family","Eubacteriaceae","1","131567","2","","","","1239","","186801","","186802","","","","186806","","","","","","","",""
"49546","200644","family","Flavobacteriaceae","1","131567","2","","","68336","976","","117743","","200644","","","","49546","","","","","","","",""
"203492","203491","family","Fusobacteriaceae","1","131567","2","","","","32066","","203490","","203491","","","","203492","","","","","","","",""
"186803","186802","family","Lachnospiraceae","1","131567","2","","","","1239","","186801","","186802","","","","186803","","","","","","","",""
"33958","186826","family","Lactobacillaceae","1","131567","2","","","","1239","","91061","","186826","","","","33958","","","","","","","",""
"1129771","203491","family","Leptotrichiaceae","1","131567","2","","","","32066","","203490","","203491","","","","1129771","","","","","","","",""
"32011","206350","family","Methylophilaceae","1","131567","2","","","","1224","","28216","","206350","","","","32011","","","","","","","",""
"1268","85006","family","Micrococcaceae","1","131567","2","","","","201174","","1760","85003","2037","","","85006","1268","","","","","","","",""
"2092","2085","family","Mycoplasmataceae","1","131567","2","","","","544448","","31969","","2085","","","","2092","","","","","","","",""
"481","206351","family","Neisseriaceae","1","131567","2","","","","1224","","28216","","206351","","","","481","","","","","","","",""
"712","135625","family","Pasteurellaceae","1","131567","2","","","","1224","","1236","","135625","","","","712","","","","","","","",""
"186804","186802","family","Peptostreptococcaceae","1","131567","2","","","","1239","","186801","","186802","","","","186804","","","","","","","",""
"171551","171549","family","Porphyromonadaceae","1","131567","2","","","68336","976","","200643","","171549","","","","171551","","","","","","","",""
"171552","171549","family","Prevotellaceae","1","131567","2","","","68336","976","","200643","","171549","","","","171552","","","","","","","",""
"135621","72274","family","Pseudomonadaceae","1","131567","2","","","","1224","","1236","","72274","","","","135621","","","","","","","",""
"171550","171549","family","Rikenellaceae","1","131567","2","","","68336","976","","200643","","171549","","","","171550","","","","","","","",""
"541000","186802","family","Ruminococcaceae","1","131567","2","","","","1239","","186801","","186802","","","","541000","","","","","","","",""
"90964","1385","family","Staphylococcaceae","1","131567","2","","","","1239","","91061","","1385","","","","90964","","","","","","","",""
"1300","186826","family","Streptococcaceae","1","131567","2","","","","1239","","91061","","186826","","","","1300","","","","","","","",""
"649777","649776","family","Synergistaceae","1","131567","2","","","","508458","","649775","","649776","","","","649777","","","","","","","",""
"320796","588674","family","Thermoleophilaceae","1","131567","2","","","","201174","","1760","84995","588674","","","","320796","","","","","","","",""
"31977","909929","family","Veillonellaceae","1","131567","2","","","","1239","","909932","","909929","","","","31977","","","","","","","",""
"279916","2049","below_family","Mobiluncus/Falcivibrio group","1","131567","2","","","","201174","","1760","85003","2037","","","85005","2049","279916","","","","","","",""
"543311","543310","below_family","Parvimonas","1","131567","2","","","","1239","","186801","","186802","538999","","","543310","543311","","","","","","",""
"76833","2049","genus","Actinobaculum","1","131567","2","","","","201174","","1760","85003","2037","","","85005","2049","","76833","","","","","",""
"1654","2049","genus","Actinomyces","1","131567","2","","","","201174","","1760","85003","2037","","","85005","2049","","1654","","","","","",""
"1375","186827","genus","Aerococcus","1","131567","2","","","","1239","","91061","","186826","","","","186827","","1375","","","","","",""
"239759","171550","genus","Alistipes","1","131567","2","","","68336","976","","200643","","171549","","","","171550","","239759","","","","","",""
"419014","31953","genus","Alloscardovia","1","131567","2","","","","201174","","1760","85003","85004","","","","31953","","419014","","","","","",""
"165779","543310","genus","Anaerococcus","1","131567","2","","","","1239","","186801","","186802","538999","","","543310","","165779","","","","","",""
"1380","84107","genus","Atopobium","1","131567","2","","","","201174","","1760","84998","84999","","","255727","84107","","1380","","","","","",""
"816","815","genus","Bacteroides","1","131567","2","","","68336","976","","200643","","171549","","","","815","","816","","","","","",""
"1678","31953","genus","Bifidobacterium","1","131567","2","","","","201174","","1760","85003","85004","","","","31953","","1678","","","","","",""
"572511","186803","genus","Blautia","1","131567","2","","","","1239","","186801","","186802","","","","186803","","572511","","","","","",""
"1696","85019","genus","Brevibacterium","1","131567","2","","","","201174","","1760","85003","2037","","","85006","85019","","1696","","","","","",""
"194","72294","genus","Campylobacter","1","131567","2","","","","1224","68525","29547","","213849","","","","72294","","194","","","","","",""
"544","543","genus","Citrobacter","1","131567","2","","","","1224","","1236","","91347","","","","543","","544","","","","","",""
"1485","31979","genus","Clostridium","1","131567","2","","","","1239","","186801","","186802","","","","31979","","1485","","","","","",""
"1716","1653","genus","Corynebacterium","1","131567","2","","","","201174","","1760","85003","2037","","","85007","1653","","1716","","","","","",""
